sentence, cat
print months,print,months
print mood,print,mood
print moon,print,moon
print more,print,more
print morning,print,morning
print most,print,most
print mostly,print,mostly
print mother,print,mother
print mothers,print,mothers
print motion,print,motion
print motor,print,motor
print mount,print,mount
print mountain,print,mountain
print mountains,print,mountains
print mouse,print,mouse
print mouth,print,mouth
print move,print,move
print moved,print,moved
print movement,print,movement
print movements,print,movements
print moves,print,moves
print movie,print,movie
print moving,print,moving
print mr,print,mr
print mrs,print,mrs
print much,print,much
print mud,print,mud
print muscles,print,muscles
print music,print,music
print musical,print,musical
print must,print,must
print my,print,my
print myself,print,myself
print mysterious,print,mysterious
print nails,print,nails
print name,print,name
print named,print,named
print names,print,names
print narrow,print,narrow
print nation,print,nation
print national,print,national
print nations,print,nations
print native,print,native
print natural,print,natural
print naturally,print,naturally
print nature,print,nature
print near,print,near
print nearby,print,nearby
print nearer,print,nearer
print nearest,print,nearest
print nearly,print,nearly
print necessary,print,necessary
print neck,print,neck
print need,print,need
print needed,print,needed
print needle,print,needle
print needs,print,needs
print negative,print,negative
print negro,print,negro
print neighbor,print,neighbor
print neighborhood,print,neighborhood
print neighbors,print,neighbors
print neither,print,neither
print nervous,print,nervous
print nest,print,nest
print never,print,never
print new,print,new
print new york,print,new york
print new york city,print,new york city
print news,print,news
print newspaper,print,newspaper
print newspapers,print,newspapers
print next,print,next
print nice,print,nice
print night,print,night
print nights,print,nights
print nine,print,nine
print no,print,no
print nobody,print,nobody
print nodded,print,nodded
print noise,print,noise
print none,print,none
print nor,print,nor
print normal,print,normal
print north,print,north
print northern,print,northern
print norway,print,norway
print nose,print,nose
print not,print,not
print noted,print,noted
print notes,print,notes
print nothing,print,nothing
print notice,print,notice
print noticed,print,noticed
print noun,print,noun
print nouns,print,nouns
print now,print,now
print number,print,number
print numbers,print,numbers
print numeral,print,numeral
print numerals,print,numerals
print nuts,print,nuts
print oclock,print,oclock
print object,print,object
print objects,print,objects
print observe,print,observe
print observed,print,observed
print obtain,print,obtain
print obtained,print,obtained
print occasionally,print,occasionally
print occur,print,occur
print occurred,print,occurred
print occurs,print,occurs
print ocean,print,ocean
print oceans,print,oceans
print october,print,october
print of,print,of
print off,print,off
print offer,print,offer
print offered,print,offered
print office,print,office
print officer,print,officer
print officers,print,officers
print official,print,official
print often,print,often
print oh,print,oh
print ohio,print,ohio
print oil,print,oil
print old,print,old
print older,print,older
print oldest,print,oldest
print on,print,on
print once,print,once
print one,print,one
print ones,print,ones
print only,print,only
print onto,print,onto
print open,print,open
print opened,print,opened
print opening,print,opening
print operation,print,operation
print opinion,print,opinion
print opportunity,print,opportunity
print opposite,print,opposite
print or,print,or
print orange,print,orange
print orbit,print,orbit
print order,print,order
print ordered,print,ordered
print orders,print,orders
print ordinary,print,ordinary
print ore,print,ore
print organization,print,organization
print organized,print,organized
print origin,print,origin
print original,print,original
print originally,print,originally
print other,print,other
print others,print,others
print ought,print,ought
print our,print,our
print ourselves,print,ourselves
print out,print,out
print outer,print,outer
print outline,print,outline
print outside,print,outside
print over,print,over
print own,print,own
print owned,print,owned
print owner,print,owner
print oxygen,print,oxygen
print pacific,print,pacific
print pack,print,pack
print package,print,package
print packed,print,packed
print page,print,page
print pages,print,pages
print paid,print,paid
print pain,print,pain
print paint,print,paint
print painted,print,painted
print pair,print,pair
print pairs,print,pairs
print palace,print,palace
print pale,print,pale
print pan,print,pan
print papa,print,papa
print paper,print,paper
print papers,print,papers
print paragraph,print,paragraph
print parallel,print,parallel
print parents,print,parents
print paris,print,paris
print park,print,park
print part,print,part
print particles,print,particles
print particular,print,particular
print particularly,print,particularly
print partly,print,partly
print parts,print,parts
print party,print,party
print pass,print,pass
print passage,print,passage
print passed,print,passed
print passengers,print,passengers
print passes,print,passes
print passing,print,passing
print past,print,past
print pasture,print,pasture
print path,print,path
print pattern,print,pattern
print patterns,print,patterns
print paul,print,paul
print pay,print,pay
print peace,print,peace
print pen,print,pen
print pencil,print,pencil
print pennsylvania,print,pennsylvania
print people,print,people
